"time","velocity","count"
500,0,7
500,1,12
500,2,25
500,3,27
500,4,35
500,5,48
500,6,45
500,7,45
500,8,43
500,9,32
500,10,38
500,11,28
500,12,25
500,13,20
500,14,14
500,15,13
500,16,10
500,17,12
500,18,4
500,19,7
500,20,5
500,21,1
500,22,0
500,23,2
500,24,0
500,25,0
500,26,2
500,27,0
500,28,0
500,29,0
