"time","velocity","count"
500,0,8
500,1,15
500,2,21
500,3,31
500,4,39
500,5,36
500,6,39
500,7,42
500,8,36
500,9,55
500,10,42
500,11,20
500,12,23
500,13,21
500,14,13
500,15,14
500,16,15
500,17,14
500,18,4
500,19,1
500,20,6
500,21,1
500,22,0
500,23,4
500,24,0
500,25,0
500,26,0
500,27,0
500,28,0
500,29,0
